Metric,Variable,N,Mean_change,SD_change,Linear_slope,Linear_intercept,Linear_R2,Linear_p_value,Quadratic_R2,Change_trend_per_year,Significant_trend,Trend_direction
MLD,mld_late_change,66,-0.036363636363636355,0.5002200617656568,0.009350890587425107,-0.10665449650146039,0.01791958393693238,0.2839133663123161,0.019845825258606897,0.11221068704910128,No,Improving
MLA,mla_late_change,66,0.015151515151515152,1.2731781308209524,0.022686094326931035,-0.15538037894980317,0.016281158661802353,0.3072626158567089,0.016809548223072124,0.27223313192317244,No,Improving
MUFR,mufr_late_change,66,0.15151515151515152,12.624222057330929,0.029981929555647234,-0.07385970421165561,0.0002892371613859579,0.8921887388749938,0.0021968831175254167,0.3597831546677668,No,Improving
