Metric,N,Linear_Slope,Linear_Intercept,Linear_R2,Linear_p_value,Quadratic_R2,Change_per_year,Significant_trend,Direction
MLD,48,-0.0006862635410267674,0.09610406073306307,0.0002972717373453948,0.9074045471823362,0.04368950836809371,-0.008235162492321209,No,Decrease
MLA,48,-0.0006637107733637327,0.29716715516498404,2.52437495108504e-05,0.9729631926516278,0.0025725637979804317,-0.007964529280364792,No,Decrease
MUFR,48,-0.1196428391965774,2.9707040762095898,0.01654411642320941,0.38360684374454745,0.08203918455509485,-1.4357140703589288,No,Decrease
