Variable,Coefficient,OR,SE,95% CI (OR),P-value,Significant
Intercept,9.887236548151142,19677.606615631175,6.3318442877699015,"(0.080, 4826673292.043)",0.11840352677321206,
predilatation_diam_to_vessel,3.7877810401018888,44.15830597244867,2.1709900714345225,"(0.627, 3111.448)",0.08103271830676756,
init_post_mufr,-0.12382270856484073,0.8835364704466616,0.06221863810008531,"(0.782, 0.998)",0.046577448190595054,*
dcb_diam_to_vessel,-2.8174491988304555,0.059758179697912625,2.594980726824308,"(0.000, 9.666)",0.27759833185807736,
